 XGSE    YGSE   ZGSE    R    BXGSE   BYGSE   BZGSE   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.891   0.257   0.890   2.105    -1191.19     -235.92     2725.72     2983.98
   1.894   0.258   0.881   2.105    -1151.66     -231.93     2741.39     2982.51
   1.898   0.259   0.872   2.105    -1112.14     -227.94     2757.05     2981.64
   1.902   0.260   0.862   2.104    -1072.63     -223.95     2772.71     2981.38
   1.905   0.260   0.853   2.104    -1033.11     -219.95     2788.36     2981.72
   1.909   0.261   0.844   2.103     -993.58     -215.96     2804.01     2982.67
   1.912   0.262   0.834   2.103     -954.02     -211.96     2819.66     2984.22
   1.915   0.263   0.825   2.102     -914.42     -207.96     2835.32     2986.38
   1.918   0.263   0.815   2.101     -874.78     -203.95     2850.99     2989.15
   1.921   0.264   0.806   2.100     -835.07     -199.94     2866.68     2992.52
   1.924   0.265   0.796   2.099     -795.30     -195.92     2882.38     2996.50
   1.926   0.265   0.786   2.098     -755.45     -191.89     2898.11     3001.09
   1.929   0.266   0.777   2.096     -715.50     -187.85     2913.86     3006.29
   1.931   0.266   0.767   2.095     -675.45     -183.80     2929.64     3012.11
   1.933   0.267   0.757   2.093     -635.29     -179.74     2945.44     3018.53
   1.935   0.268   0.748   2.092     -595.01     -175.66     2961.28     3025.58
   1.937   0.268   0.738   2.090     -554.60     -171.57     2977.16     3033.23
   1.939   0.269   0.728   2.089     -514.03     -167.47     2993.08     3041.51
   1.941   0.269   0.718   2.087     -473.31     -163.35     3009.03     3050.41
   1.942   0.270   0.708   2.085     -432.42     -159.21     3025.04     3059.93
   1.943   0.270   0.698   2.083     -391.35     -155.05     3041.08     3070.08
   1.945   0.271   0.688   2.081     -350.09     -150.88     3057.18     3080.86
   1.946   0.271   0.678   2.078     -308.63     -146.68     3073.33     3092.26
   1.947   0.272   0.669   2.076     -266.95     -142.46     3089.53     3104.31
   1.947   0.272   0.659   2.074     -225.04     -138.21     3105.78     3116.99
   1.948   0.273   0.649   2.071     -182.90     -133.94     3122.10     3130.32
   1.949   0.273   0.639   2.069     -140.51     -129.65     3138.46     3144.28
   1.949   0.274   0.629   2.066      -97.85     -125.32     3154.90     3158.90
   1.949   0.274   0.619   2.063      -54.92     -120.97     3171.39     3174.17
   1.949   0.274   0.609   2.061      -11.70     -116.59     3187.95     3190.10
   1.949   0.275   0.599   2.058       31.83     -112.18     3204.57     3206.69
   1.949   0.275   0.589   2.055       75.66     -107.73     3221.26     3223.95
   1.949   0.275   0.579   2.052      119.82     -103.25     3238.02     3241.88
   1.948   0.276   0.569   2.048      164.31      -98.73     3254.84     3260.48
   1.948   0.276   0.559   2.045      209.16      -94.17     3271.74     3279.77
   1.947   0.276   0.549   2.042      254.38      -89.58     3288.70     3299.74
   1.946   0.276   0.539   2.038      299.97      -84.95     3305.74     3320.41
   1.945   0.277   0.529   2.035      345.95      -80.27     3322.85     3341.78
   1.944   0.277   0.519   2.031      392.35      -75.56     3340.04     3363.85
   1.943   0.277   0.509   2.028      439.16      -70.79     3357.29     3386.63
   1.942   0.277   0.499   2.024      486.40      -65.99     3374.62     3410.14
   1.940   0.278   0.489   2.020      534.10      -61.13     3392.03     3434.37
   1.939   0.278   0.479   2.016      582.25      -56.23     3409.51     3459.33
   1.937   0.278   0.469   2.012      630.89      -51.27     3427.07     3485.03
   1.935   0.278   0.460   2.008      680.01      -46.26     3444.70     3511.49
   1.933   0.278   0.450   2.004      729.65      -41.20     3462.41     3538.69
   1.931   0.278   0.440   2.000      779.81      -36.08     3480.19     3566.67
   1.929   0.278   0.430   1.995      830.51      -30.90     3498.05     3595.42
   1.926   0.278   0.421   1.991      881.76      -25.67     3515.98     3624.95
   1.924   0.278   0.411   1.987      933.58      -20.37     3533.98     3655.27
   1.921   0.279   0.401   1.982      985.99      -15.02     3552.07     3686.41
   1.918   0.279   0.392   1.978     1039.01       -9.59     3570.22     3718.35
   1.915   0.279   0.382   1.973     1092.65       -4.10     3588.45     3751.11
   1.913   0.279   0.373   1.968     1146.92        1.45     3606.74     3784.71
   1.909   0.279   0.363   1.963     1201.85        7.08     3625.11     3819.15
   1.906   0.279   0.354   1.959     1257.46       12.78     3643.54     3854.45
   1.903   0.279   0.344   1.954     1313.75       18.55     3662.05     3890.62
   1.899   0.278   0.335   1.949     1370.76       24.40     3680.62     3927.66
   1.896   0.278   0.325   1.944     1428.49       30.33     3699.26     3965.60
   1.892   0.278   0.316   1.939     1486.97       36.34     3717.96     4004.45
   1.888   0.278   0.307   1.933     1546.22       42.43     3736.72     4044.22
   1.885   0.278   0.298   1.928     1606.26       48.60     3755.55     4084.92
   1.881   0.278   0.288   1.923     1667.10       54.86     3774.42     4126.56
