 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
   1.915   0.349   0.792   2.102     -914.42       95.11     2841.35     2986.38
   1.918   0.349   0.783   2.101     -874.78      100.76     2856.50     2989.15
   1.921   0.348   0.773   2.100     -835.07      106.42     2871.67     2992.52
   1.924   0.348   0.763   2.099     -795.30      112.09     2886.86     2996.50
   1.926   0.347   0.754   2.098     -755.45      117.78     2902.06     3001.09
   1.929   0.347   0.744   2.096     -715.50      123.47     2917.29     3006.29
   1.931   0.347   0.734   2.095     -675.45      129.18     2932.55     3012.11
   1.933   0.346   0.725   2.093     -635.30      134.90     2947.84     3018.53
   1.935   0.346   0.715   2.092     -595.01      140.63     2963.16     3025.58
   1.937   0.345   0.705   2.090     -554.60      146.39     2978.50     3033.23
   1.939   0.345   0.695   2.089     -514.03      152.17     2993.89     3041.51
   1.941   0.344   0.685   2.087     -473.31      157.96     3009.32     3050.41
   1.942   0.344   0.675   2.085     -432.42      163.78     3024.79     3059.93
   1.943   0.343   0.666   2.083     -391.35      169.62     3040.30     3070.08
   1.945   0.343   0.656   2.081     -350.09      175.49     3055.87     3080.86
   1.946   0.342   0.646   2.078     -308.63      181.38     3071.47     3092.26
   1.947   0.341   0.636   2.076     -266.95      187.31     3087.13     3104.31
   1.947   0.341   0.626   2.074     -225.04      193.26     3102.85     3116.99
   1.948   0.340   0.616   2.071     -182.90      199.24     3118.61     3130.32
   1.949   0.340   0.606   2.069     -140.51      205.25     3134.43     3144.28
   1.949   0.339   0.596   2.066      -97.85      211.30     3150.31     3158.90
   1.949   0.338   0.586   2.063      -54.92      217.39     3166.24     3174.17
   1.949   0.338   0.576   2.061      -11.70      223.51     3182.24     3190.10
   1.949   0.337   0.566   2.058       31.82      229.67     3198.30     3206.69
   1.949   0.336   0.556   2.055       75.66      235.87     3214.42     3223.95
   1.949   0.335   0.546   2.052      119.82      242.11     3230.60     3241.88
   1.948   0.335   0.536   2.048      164.31      248.39     3246.85     3260.48
   1.948   0.334   0.526   2.045      209.16      254.72     3263.17     3279.77
   1.947   0.333   0.516   2.042      254.38      261.09     3279.55     3299.74
   1.946   0.332   0.506   2.038      299.97      267.51     3295.99     3320.41
   1.945   0.331   0.496   2.035      345.95      273.98     3312.51     3341.78
   1.944   0.331   0.486   2.031      392.35      280.50     3329.09     3363.85
   1.943   0.330   0.477   2.028      439.16      287.07     3345.75     3386.63
   1.942   0.329   0.467   2.024      486.40      293.70     3362.47     3410.14
   1.940   0.328   0.457   2.020      534.10      300.38     3379.26     3434.37
   1.939   0.327   0.447   2.016      582.25      307.12     3396.12     3459.33
   1.937   0.326   0.437   2.012      630.89      313.92     3413.05     3485.03
   1.935   0.325   0.427   2.008      680.01      320.77     3430.05     3511.49
   1.933   0.324   0.418   2.004      729.65      327.69     3447.11     3538.69
   1.931   0.324   0.408   2.000      779.81      334.68     3464.25     3566.67
   1.929   0.323   0.398   1.995      830.51      341.72     3481.46     3595.42
   1.926   0.322   0.389   1.991      881.76      348.84     3498.73     3624.95
   1.924   0.321   0.379   1.987      933.58      356.02     3516.06     3655.27
   1.921   0.320   0.369   1.982      985.99      363.27     3533.47     3686.41
   1.918   0.319   0.360   1.978     1039.01      370.60     3550.95     3718.35
   1.915   0.318   0.350   1.973     1092.65      378.00     3568.48     3751.11
   1.913   0.317   0.341   1.968     1146.92      385.47     3586.08     3784.71
   1.909   0.316   0.331   1.963     1201.85      393.02     3603.75     3819.15
   1.906   0.315   0.322   1.959     1257.46      400.65     3621.47     3854.45
   1.903   0.314   0.313   1.954     1313.75      408.36     3639.26     3890.62
   1.899   0.313   0.303   1.949     1370.76      416.15     3657.10     3927.66
   1.896   0.311   0.294   1.944     1428.49      424.03     3675.00     3965.60
   1.892   0.310   0.285   1.939     1486.97      432.00     3692.95     4004.45
   1.888   0.309   0.275   1.933     1546.22      440.05     3710.96     4044.22
   1.885   0.308   0.266   1.928     1606.26      448.20     3729.02     4084.92
   1.881   0.307   0.257   1.923     1667.10      456.43     3747.13     4126.56
   1.877   0.306   0.248   1.917     1728.77      464.76     3765.28     4169.17
   1.872   0.305   0.239   1.912     1791.29      473.19     3783.47     4212.76
   1.868   0.304   0.230   1.907     1854.68      481.71     3801.71     4257.33
   1.864   0.303   0.221   1.901     1918.96      490.34     3819.98     4302.92
   1.859   0.301   0.212   1.895     1984.15      499.07     3838.29     4349.53
   1.855   0.300   0.204   1.890     2050.28      507.90     3856.64     4397.19
   1.850   0.299   0.195   1.884     2117.37      516.84     3875.00     4445.90
   1.845   0.298   0.186   1.878     2185.44      525.89     3893.40     4495.69
   1.840   0.297   0.178   1.872     2254.52      535.05     3911.81     4546.58
   1.835   0.296   0.169   1.866     2324.62      544.32     3930.24     4598.58
   1.830   0.294   0.160   1.860     2395.78      553.71     3948.68     4651.72
   1.825   0.293   0.152   1.854     2468.03      563.22     3967.13     4706.01
   1.819   0.292   0.144   1.848     2541.38      572.84     3985.59     4761.48
   1.814   0.291   0.135   1.842     2615.86      582.59     4004.04     4818.14
   1.809   0.290   0.127   1.836     2691.50      592.47     4022.49     4876.02
   1.803   0.288   0.119   1.830     2768.33      602.47     4040.92     4935.14
   1.797   0.287   0.111   1.824     2846.37      612.60     4059.34     4995.53
   1.792   0.286   0.103   1.817     2925.66      622.87     4077.73     5057.21
   1.786   0.285   0.094   1.811     3006.22      633.26     4096.10     5120.20
   1.780   0.283   0.087   1.804     3088.09      643.80     4114.43     5184.52
   1.774   0.282   0.079   1.798     3171.28      654.48     4132.71     5250.21
   1.768   0.281   0.071   1.791     3255.85      665.29     4150.95     5317.28
   1.762   0.280   0.063   1.785     3341.81      676.26     4169.13     5385.78
   1.755   0.278   0.055   1.778     3429.19      687.37     4187.24     5455.72
   1.749   0.277   0.048   1.772     3518.04      698.63     4205.29     5527.13
   1.743   0.276   0.040   1.765     3608.39      710.05     4223.25     5600.04
   1.736   0.275   0.033   1.758     3700.26      721.62     4241.12     5674.49
   1.730   0.273   0.025   1.751     3793.71      733.35     4258.90     5750.50
   1.723   0.272   0.018   1.744     3888.75      745.24     4276.57     5828.10
   1.716   0.271   0.010   1.738     3985.44      757.29     4294.11     5907.34
   1.710   0.270   0.003   1.731     4083.80      769.52     4311.54     5988.23
   1.703   0.268  -0.004   1.724     4183.87      781.91     4328.82     6070.82
   1.696   0.267  -0.011   1.717     4285.70      794.48     4345.95     6155.14
   1.689   0.266  -0.018   1.710     4389.33      807.22     4362.93     6241.23
   1.682   0.264  -0.025   1.703     4494.79      820.14     4379.73     6329.12
   1.675   0.263  -0.032   1.695     4602.13      833.24     4396.34     6418.86
   1.667   0.262  -0.039   1.688     4711.39      846.53     4412.75     6510.47
   1.660   0.261  -0.045   1.681     4822.62      860.01     4428.96     6604.01
   1.653   0.259  -0.052   1.674     4935.86      873.68     4444.93     6699.51
   1.645   0.258  -0.059   1.666     5051.15      887.54     4460.67     6797.01
   1.638   0.257  -0.065   1.659     5168.54      901.60     4476.15     6896.56
   1.630   0.255  -0.072   1.652     5288.08      915.87     4491.35     6998.21
   1.623   0.254  -0.078   1.644     5409.83      930.33     4506.27     7101.99
   1.615   0.253  -0.084   1.637     5533.82      945.01     4520.88     7207.95
   1.607   0.251  -0.091   1.629     5660.11      959.89     4535.17     7316.14
   1.600   0.250  -0.097   1.622     5788.74      974.99     4549.11     7426.61
   1.592   0.249  -0.103   1.614     5919.79      990.30     4562.70     7539.42
   1.584   0.247  -0.109   1.607     6053.30     1005.84     4575.89     7654.60
   1.576   0.246  -0.115   1.599     6189.31     1021.59     4588.69     7772.21
   1.568   0.245  -0.121   1.592     6327.90     1037.58     4601.07     7892.32
   1.560   0.243  -0.127   1.584     6469.11     1053.79     4613.00     8014.96
   1.552   0.242  -0.132   1.576     6613.02     1070.24     4624.45     8140.21
   1.544   0.241  -0.138   1.568     6759.66     1086.93     4635.41     8268.10
   1.536   0.240  -0.143   1.561     6909.11     1103.85     4645.85     8398.71
   1.527   0.238  -0.149   1.553     7061.44     1121.02     4655.76     8532.09
   1.519   0.237  -0.154   1.545     7216.69     1138.43     4665.08     8668.31
   1.511   0.236  -0.160   1.537     7374.94     1156.09     4673.80     8807.42
   1.502   0.234  -0.165   1.529     7536.25     1174.00     4681.89     8949.49
   1.494   0.233  -0.170   1.521     7700.69     1192.17     4689.33     9094.60
   1.485   0.232  -0.175   1.513     7868.32     1210.59     4696.07     9242.79
   1.477   0.230  -0.180   1.505     8039.23     1229.27     4702.09     9394.14
   1.468   0.229  -0.185   1.497     8213.46     1248.22     4707.35     9548.72
   1.460   0.228  -0.190   1.489     8391.11     1267.43     4711.81     9706.61
   1.451   0.226  -0.195   1.481     8572.23     1286.91     4715.46     9867.87
   1.442   0.225  -0.200   1.473     8756.91     1306.66     4718.23    10032.57
   1.433   0.224  -0.204   1.465     8945.21     1326.69     4720.10    10200.80
   1.425   0.223  -0.209   1.457     9137.21     1346.98     4721.02    10372.61
   1.416   0.221  -0.214   1.449     9332.99     1367.56     4720.97    10548.10
   1.407   0.220  -0.218   1.441     9532.62     1388.41     4719.88    10727.34
   1.398   0.219  -0.222   1.432     9736.19     1409.54     4717.73    10910.42
   1.389   0.217  -0.227   1.424     9943.76     1430.95     4714.45    11097.39
   1.380   0.216  -0.231   1.416    10155.43     1452.65     4710.01    11288.36
   1.371   0.215  -0.235   1.408    10371.26     1474.62     4704.37    11483.41
   1.362   0.213  -0.239   1.399    10591.35     1496.88     4697.46    11682.61
   1.353   0.212  -0.243   1.391    10815.76     1519.42     4689.24    11886.05
   1.344   0.211  -0.247   1.383    11044.58     1542.24     4679.65    12093.82
   1.335   0.210  -0.251   1.374    11277.88     1565.34     4668.65    12305.99
   1.326   0.208  -0.254   1.366    11515.76     1588.73     4656.17    12522.65
   1.316   0.207  -0.258   1.357    11758.28     1612.39     4642.16    12743.89
   1.307   0.206  -0.262   1.349    12005.52     1636.33     4626.57    12969.78
   1.298   0.205  -0.265   1.340    12257.57     1660.54     4609.32    13200.43
   1.288   0.203  -0.269   1.332    12514.50     1685.02     4590.37    13435.90
   1.279   0.202  -0.272   1.323    12776.37     1709.76     4569.65    13676.28
   1.270   0.201  -0.275   1.315    13043.28     1734.77     4547.09    13921.66
   1.260   0.200  -0.279   1.306    13315.27     1760.03     4522.64    14172.10
   1.251   0.198  -0.282   1.298    13592.43     1785.54     4496.23    14427.70
   1.242   0.197  -0.285   1.289    13874.82     1811.29     4467.79    14688.52
   1.232   0.196  -0.288   1.280    14162.49     1837.27     4437.26    14954.63
   1.223   0.195  -0.291   1.272    14455.50     1863.48     4404.56    15226.11
   1.213   0.193  -0.294   1.263    14753.92     1889.90     4369.65    15503.02
   1.204   0.192  -0.296   1.254    15057.76     1916.52     4332.44    15785.41
   1.194   0.191  -0.299   1.246    15367.08     1943.32     4292.88    16073.35
   1.184   0.190  -0.302   1.237    15681.91     1970.29     4250.90    16366.87
   1.175   0.189  -0.304   1.228    16002.28     1997.43     4206.44    16666.04
   1.165   0.187  -0.307   1.219    16328.18     2024.69     4159.44    16970.85
   1.156   0.186  -0.309   1.211    16659.64     2052.07     4109.84    17281.36
   1.146   0.185  -0.312   1.202    16996.64     2079.55     4057.58    17597.56
   1.136   0.184  -0.314   1.193    17339.16     2107.09     4002.62    17919.46
   1.127   0.183  -0.316   1.184    17687.16     2134.67     3944.91    18247.05
   1.117   0.182  -0.318   1.175    18040.60     2162.26     3884.42    18580.30
   1.107   0.180  -0.320   1.167    18399.42     2189.83     3821.10    18919.17
   1.098   0.179  -0.322   1.158    18763.51     2217.34     3754.95    19263.58
   1.088   0.178  -0.324   1.149    19132.79     2244.76     3685.93    19613.48
   1.078   0.177  -0.326   1.140    19507.09     2272.02     3614.06    19968.73
   1.068   0.176  -0.328   1.131    19886.28     2299.10     3539.35    20329.22
   1.058   0.175  -0.329   1.122    20270.16     2325.94     3461.83    20694.77
   1.049   0.174  -0.331   1.113    20658.52     2352.47     3381.54    21065.22
   1.039   0.172  -0.333   1.104    21051.10     2378.64     3298.56    21440.32
   1.029   0.171  -0.334   1.095    21447.64     2404.37     3212.99    21819.84
